"","JDate","Year","X","unitbox","RFID","Seconds","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","UniqueRecord","FullTime","Hours","HoursSq","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Sc.Seconds","Sc.Year","Sc.DOY","Sky.Cov.x","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"43",150,2015,59,"2111","041868C602",21049,"111","041894557D","041868C602","Yes","5/29/15",1,"041868C602_150_21049",12981049,5.84694444444444,34.1867593364198,"M",22500,"Long",93.1,"Ithaca","2015-05-29",149,149,169,0.436720507307601,15,-1.69801184910734,0.8,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"44",150,2015,56,"2104","04186EA049",19733,"104","041894614B","04186EA049","Yes","5/25/15",5,"04186EA049_150_19733",12979733,5.48138888888889,30.0456241512346,"M",22500,"Control",93.1,"Ithaca","2015-05-25",145,145,165,-0.342791326284905,15,-1.69801184910734,0.8,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"45",150,2015,47,"238","041868F39C",19801,"38","0417939A3D","041868F39C","Yes","5/28/15",2,"041868F39C_150_19801",12979801,5.50027777777778,30.253055632716,"M",22500,"Control",93.1,"Ithaca","2015-05-28",148,148,168,-0.302512599321159,15,-1.69801184910734,0.8,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"46",150,2015,48,"214","0418946B5D",20880,"14","04186EC42E","0418946B5D","Yes","5/28/15",2,"0418946B5D_150_20880",12980880,5.8,33.64,"M",22500,"High",93.1,"Ithaca","2015-05-28",148,148,168,0.33661602411829,15,-1.69801184910734,0,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"47",150,2015,54,"2104","04186EA049",19733,"104","041894614B","04186EA049","Yes","5/25/15",5,"04186EA049_150_19733",12979733,5.48138888888889,30.0456241512346,"M",22500,"Control",93.1,"Ithaca","2015-05-25",145,145,165,-0.342791326284905,15,-1.69801184910734,0,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"48",150,2015,55,"2104","04186EA049",19733,"104","041894614B","04186EA049","Yes","5/25/15",5,"04186EA049_150_19733",12979733,5.48138888888889,30.0456241512346,"M",22500,"Control",93.1,"Ithaca","2015-05-25",145,145,165,-0.342791326284905,15,-1.69801184910734,1,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"49",150,2015,68,"285","041868BD7F",21111,"85","0418945F71","041868BD7F","Yes","5/29/15",1,"041868BD7F_150_21111",12981111,5.86416666666667,34.3884506944444,"M",22500,"Low",93.1,"Ithaca","2015-05-29",149,149,169,0.473445228951017,15,-1.69801184910734,0.8,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"50",150,2015,60,"277","041868D041",20289,"77","04186EB240","041868D041","Yes","5/27/15",3,"041868D041_150_20289",12980289,5.63583333333333,31.7626173611111,"M",22500,"DMSO",93.1,"Ithaca","2015-05-27",147,147,167,-0.0134534999342719,15,-1.69801184910734,0,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"51",150,2015,61,"277","041868D041",20289,"77","04186EB240","041868D041","Yes","5/27/15",3,"041868D041_150_20289",12980289,5.63583333333333,31.7626173611111,"M",22500,"DMSO",93.1,"Ithaca","2015-05-27",147,147,167,-0.0134534999342719,15,-1.69801184910734,1,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"52",150,2015,49,"214","0418946B5D",20880,"14","04186EC42E","0418946B5D","Yes","5/28/15",2,"0418946B5D_150_20880",12980880,5.8,33.64,"M",22500,"High",93.1,"Ithaca","2015-05-28",148,148,168,0.33661602411829,15,-1.69801184910734,1,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"53",150,2015,45,"238","041868F39C",19801,"38","0417939A3D","041868F39C","Yes","5/28/15",2,"041868F39C_150_19801",12979801,5.50027777777778,30.253055632716,"M",22500,"Control",93.1,"Ithaca","2015-05-28",148,148,168,-0.302512599321159,15,-1.69801184910734,0,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"54",150,2015,51,"2126","0418945C34",20961,"126","0418942DBA","0418945C34","Yes","5/24/15",6,"0418945C34_150_20961",12980961,5.8225,33.90150625,"M",22500,"High",93.1,"Ithaca","2015-05-24",144,144,164,0.384595095942752,15,-1.69801184910734,0,0.6,0.6,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
