"","X","Illumination","JDate","starttime","endtime","site","NestNumber","Year","nest","Sunrise","Sunset","Illumination.sc","dayofyear.sc","starttime.sc","endtime.sc","starttime.sq","starttime.sqrt","starttime.log","starttime.sqrtsc","Sunrisetime.sc","Sunsettime.sc","FullTime","sunrise_c","sunset_c","moonrise_c","moonset_c","merid_c","nightlength","moonlength","rise_set_later","brightnight"
"249",379,10.2,137,17582,82210,"AK","AK17",2007,17,18499,1580,-1.7756182205989,-1.4483913302039,-0.934765041923199,1.06453250078104,309126724,132.597134207342,9.77463093041112,-0.950472022147841,-0.397816450074469,-1.0883969213003,11854382,11855299,11838380,11850840,11836200,11798700,16919,-14640,"rise",4459
"250",380,17.7,138,19345,81648,"AK","AK17",2007,17,18487,1617,-1.53457264917447,-1.3561195177626,-0.246852699967543,0.926711507765023,374229025,139.086304142428,9.87018926713461,-0.221821308467747,-0.403636171955461,-1.08739253454605,11942545,11941687,11924817,11938200,11929740,11888940,16870,-8460,"rise",3487
"251",381,26.5,139,18852,80188,"AK","AK17",2007,17,18482,1649,-1.2517458453698,-1.2638477053213,-0.439218431438977,0.568671205623761,355397904,137.302585554679,9.84437428804362,-0.42211007189501,-0.40606105607254,-1.08652387573157,12028452,12028082,12011249,11938200,12020100,11979180,16833,81900,"set",8851
"252",382,36,140,18334,82305,"AK","AK17",2007,17,18483,1674,-0.946421454898846,-1.17157589288,-0.641339017447502,1.08782964372859,336135556,135.403101884706,9.81651253852172,-0.635397772108641,-0.405576079249124,-1.08584523603276,12114334,12114483,12097674,12028620,12107400,12069300,16809,78780,"set",9726
"253",383,45.8,141,17185,82011,"AK","AK17",2007,17,18490,1694,-0.631455241570919,-1.0793040804387,-1.0896721319722,1.01573111713302,295324225,131.091571048638,9.75179218928393,-1.11952749165394,-0.402181241485213,-1.08530232427371,12199585,12200890,12184094,12129960,12193920,12159180,16796,63960,"set",9826
"254",384,55.6,142,18334,82045,"AK","AK17",2007,17,18503,1706,-0.316489028242991,-0.987032267997398,-0.641339017447502,1.02406904197741,336135556,135.403101884706,9.81651253852172,-0.635397772108641,-0.395876542780805,-1.08497657721828,12287134,12287303,12270506,12220500,12280320,12248700,16797,59820,"set",9814
"255",385,65.1,143,20900,83290,"AK","AK17",2007,17,18522,1713,-0.011164637772041,-0.894760455556098,0.359899252239516,1.32938423113211,436810000,144.56832294801,9.9475044379529,0.393739226246781,-0.386661983135901,-1.08478655810262,12376100,12373722,12356913,12310860,12366600,12337920,16809,55740,"set",9687
"256",386,74.1,144,22291,82555,"AK","AK17",2007,17,18548,1713,0.27809004793728,-0.802488643114798,0.902659358683258,1.14913791464319,496888681,149.30170796076,10.0119382885409,0.925237769537372,-0.374052585727086,-1.08478655810262,12463891,12460148,12443313,12400980,12452820,12426900,16835,51840,"set",9507
"257",387,82.1,145,21375,85009,"AK","AK17",2007,17,18580,1707,0.535205324123344,-0.710216830673498,0.545241488444244,1.7509399019409,456890625,146.201915172134,9.96997729380496,0.577170720856749,-0.358533327377775,-1.08494943163033,12549375,12546580,12529707,12490980,12539100,12515760,16873,48120,"set",9393
"258",388,89,146,21263,81492,"AK","AK17",2007,17,18617,1695,0.756967249833823,-0.617945018232198,0.501539740118077,0.888455146714313,452115169,145.818380185764,9.9647237520067,0.534104651646705,-0.340589184911384,-1.08527517868576,12635663,12633017,12616095,12582420,12625320,12604500,16922,42900,"set",9225
