"","JDate","Year","unitbox","RFID","X","Dayyearbird","totalTime","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Dayyear","Sc.Year","Sc.DOY","Sc.totalTime","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"48",149,2015,"214","04186EC42E",220,"149_2015_04186EC42E",53860,"14","04186EC42E","0418946B5D","Yes","5/28/15",1,FALSE,22201,"High",87.1,"Ithaca","2015-05-28",148,148,168,"149_2015",15,-1.55198866950245,0.0951296478697939,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"49",149,2015,"221","0417939ADB",180,"149_2015_0417939ADB",56200,"21","0417939ADB","","Yes","5/25/15",4,FALSE,22201,"Long",87.1,"Ithaca","2015-05-25",145,145,165,"149_2015",15,-1.55198866950245,0.326682256490196,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"50",149,2015,"237","041868F3AD",210,"149_2015_041868F3AD",55252,"37","041868F3AD","04186EB580","Yes","5/27/15",2,FALSE,22201,"High",87.1,"Ithaca","2015-05-27",147,147,167,"149_2015",15,-1.55198866950245,0.232873763767059,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"51",149,2015,"238","0417939A3D",170,"149_2015_0417939A3D",55605,"38","0417939A3D","041868F39C","Yes","5/28/15",1,FALSE,22201,"Control",87.1,"Ithaca","2015-05-28",148,148,168,"149_2015",15,-1.55198866950245,0.267804563272615,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"52",149,2015,"251","0417CFE760",190,"149_2015_0417CFE760",50990,"51","0417CFE760","","Yes","5/28/15",1,FALSE,22201,"DMSO",87.1,"Ithaca","2015-05-28",148,148,168,"149_2015",15,-1.55198866950245,-0.188868637062066,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"53",149,2015,"265","0417937522",160,"149_2015_0417937522",55510,"65","0417937522","04189423AE","Yes","5/27/15",2,FALSE,22201,"Long",87.1,"Ithaca","2015-05-27",147,147,167,"149_2015",15,-1.55198866950245,0.258403923179052,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"54",149,2015,"273","04186ED2D1",230,"149_2015_04186ED2D1",54458,"73","04186ED2D1","0419179FEC","Yes","5/28/15",1,FALSE,22201,"Low",87.1,"Ithaca","2015-05-28",148,148,168,"149_2015",15,-1.55198866950245,0.154304203406119,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"55",149,2016,"2103","041868E6D5",280,"149_2016_041868E6D5",53866,"103","041868E6D5","0418941B5C","Yes","5/27/16",-3,FALSE,22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.0957233725072821,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"56",149,2016,"2103","041868E6D5",280,"149_2016_041868E6D5",53866,"103","041868E6D5","0418941B5C","Yes","5/27/16",-3,FALSE,22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.0957233725072821,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"57",149,2016,"2103","041868E6D5",280,"149_2016_041868E6D5",53866,"103","041868E6D5","0418941B5C","Yes","5/27/16",-3,FALSE,22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.0957233725072821,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
